2015-08-02 08:02:58,772 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6b02b23d: startup date [Sun Aug 02 08:02:58 PDT 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2015-08-02 08:03:00,162 | INFO  | PListStore:[/Users/vinodkariyathungalkumaran/Documents/D Drive/softwares/apache-activemq-5.11.1/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2015-08-02 08:03:00,188 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/vinodkariyathungalkumaran/Documents/D Drive/softwares/apache-activemq-5.11.1/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2015-08-02 08:03:00,387 | INFO  | Apache ActiveMQ 5.11.1 (localhost, ID:Vinods-MacBook-Pro.local-52205-1438527780255-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2015-08-02 08:03:00,404 | INFO  | Listening for connections at: tcp://Vinods-MacBook-Pro.local:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-02 08:03:00,405 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2015-08-02 08:03:00,407 | INFO  | Listening for connections at: amqp://Vinods-MacBook-Pro.local:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-02 08:03:00,408 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2015-08-02 08:03:00,411 | INFO  | Listening for connections at: stomp://Vinods-MacBook-Pro.local:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-02 08:03:00,411 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2015-08-02 08:03:00,414 | INFO  | Listening for connections at: mqtt://Vinods-MacBook-Pro.local:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-02 08:03:00,414 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2015-08-02 08:03:00,548 | INFO  | Listening for connections at ws://Vinods-MacBook-Pro.local:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2015-08-02 08:03:00,548 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2015-08-02 08:03:00,549 | INFO  | Apache ActiveMQ 5.11.1 (localhost, ID:Vinods-MacBook-Pro.local-52205-1438527780255-0:1) started | org.apache.activemq.broker.BrokerService | main
2015-08-02 08:03:00,549 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2015-08-02 08:03:00,891 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2015-08-02 08:03:00,933 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2015-08-02 08:03:01,135 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2015-08-02 09:37:40,341 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6784780b: startup date [Sun Aug 02 09:37:40 PDT 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2015-08-02 09:37:41,463 | INFO  | PListStore:[/Users/vinodkariyathungalkumaran/Documents/D_Drive/softwares/apache-activemq-5.11.1/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2015-08-02 09:37:41,494 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/vinodkariyathungalkumaran/Documents/D_Drive/softwares/apache-activemq-5.11.1/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2015-08-02 09:37:41,792 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-08-02 09:37:41,809 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-08-02 09:37:41,821 | INFO  | Recovery replayed 198 operations from the journal in 0.023 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-08-02 09:37:41,980 | INFO  | Apache ActiveMQ 5.11.1 (localhost, ID:Vinods-MacBook-Pro.local-54660-1438533461845-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2015-08-02 09:37:42,006 | INFO  | Listening for connections at: tcp://Vinods-MacBook-Pro.local:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-02 09:37:42,010 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2015-08-02 09:37:42,017 | INFO  | Listening for connections at: amqp://Vinods-MacBook-Pro.local:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-02 09:37:42,020 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2015-08-02 09:37:42,030 | INFO  | Listening for connections at: stomp://Vinods-MacBook-Pro.local:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-02 09:37:42,034 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2015-08-02 09:37:42,044 | INFO  | Listening for connections at: mqtt://Vinods-MacBook-Pro.local:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-02 09:37:42,048 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2015-08-02 09:37:59,591 | INFO  | Listening for connections at ws://Vinods-MacBook-Pro.local:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2015-08-02 09:37:59,592 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2015-08-02 09:37:59,596 | INFO  | Apache ActiveMQ 5.11.1 (localhost, ID:Vinods-MacBook-Pro.local-54660-1438533461845-0:1) started | org.apache.activemq.broker.BrokerService | main
2015-08-02 09:37:59,599 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2015-08-02 09:37:59,995 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2015-08-02 09:38:00,053 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2015-08-02 09:38:00,366 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2015-08-02 10:03:57,165 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@29e54f45: startup date [Sun Aug 02 10:03:57 PDT 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2015-08-02 10:03:58,009 | INFO  | PListStore:[/Users/vinodkariyathungalkumaran/Documents/D_Drive/softwares/apache-activemq-5.11.1/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2015-08-02 10:03:58,036 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/vinodkariyathungalkumaran/Documents/D_Drive/softwares/apache-activemq-5.11.1/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2015-08-02 10:03:58,300 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-08-02 10:03:58,312 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-08-02 10:03:58,324 | INFO  | Recovery replayed 311 operations from the journal in 0.021 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-08-02 10:03:58,474 | INFO  | Apache ActiveMQ 5.11.1 (localhost, ID:Vinods-MacBook-Pro.local-59376-1438535038344-0:1) is starting | org.apache.activemq.broker.BrokerService | main
